Accession,Island start,Island end,Length,Method,Gene name,Gene ID,Locus,Gene start,Gene end,Strand,Product,External Annotations
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_000888541.1,,T_RS03095,694100,694717,1,cytochrome c biogenesis protein CcmA,
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_000990042.1,,T_RS03100,694714,695373,1,heme exporter protein CcmB,
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_000266010.1,,T_RS03105,695425,696162,1,heme ABC transporter permease,
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_000074110.1,,T_RS03110,696159,696371,1,heme exporter protein CcmD,
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_001053607.1,,T_RS03115,696368,696847,1,cytochrome c-type biogenesis protein CcmE,
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_000982516.1,,T_RS03120,696844,698775,1,c-type cytochrome biogenesis protein CcmF,
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_000828299.1,,T_RS03125,698772,699329,1,thiol:disulfide interchange protein,
NC_004631.1,694100,699329,5229,Predicted by at least one method,WP_001238304.1,,T_RS03130,699326,700369,1,cytochrome c biogenesis protein CcmH,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_000697757.1,,T_RS03945,875049,875888,1,CDP-paratose synthase,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_000770936.1,,T_RS03950,875885,876901,1,CDP-paratose 2-epimerase,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_001228890.1,,T_RS03955,876972,878270,1,transporter,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_010989202.1,,T_RS03960,878272,879273,1,glycosyl transferase,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_001763397.1,,T_RS03965,879848,880909,1,glycosyl transferase,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_000705149.1,,T_RS03970,880910,881854,1,rhamnosyltransferase,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_000009019.1,,T_RS03975,881855,883294,1,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_001103638.1,,T_RS03980,883281,884714,1,phosphomannomutase,
NC_004631.1,875049,886216,11167,Predicted by at least one method,WP_000368710.1,,T_RS03985,884786,886216,1,undecaprenyl-phosphate galactose phosphotransferase WbaP,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_001515479.1,,T_RS04380,956794,957657,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000250489.1,,T_RS04385,957844,958059,1,DNA-binding protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000837630.1,,T_RS04390,958089,958400,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_015606140.1,,T_RS04395,958415,958801,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_001291071.1,,T_RS04400,958818,959105,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000034418.1,,T_RS04405,959191,959484,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_001000809.1,,T_RS04410,959597,959992,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000129503.1,,T_RS04415,960089,960382,-1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_001042532.1,,T_RS04420,961175,961819,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000964110.1,,T_RS04425,961895,963406,-1,conjugal transfer protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000444413.1,,T_RS04430,965065,965574,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000734387.1,,T_RS04435,965621,966136,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_001280266.1,,T_RS04440,966220,966543,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_015606141.1,,T_RS04445,966843,968279,1,putative PilV-like protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_001019842.1,,T_RS04450,968796,969110,1,hypothetical protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_015606142.1,,T_RS04455,969126,970553,1,PilV-like protein,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_000766114.1,,T_RS04460,970921,973881,-1,type III restriction endonuclease subunit R,
NC_004631.1,956403,978962,22559,Predicted by at least one method,WP_001038193.1,,T_RS04465,973891,975867,-1,site-specific DNA-methyltransferase,
